ts, lonX, latY, maxWindKts, headingDeg, rMax, source, fSpeedKts
2021-08-24T06:00:00Z, -64.200000, 11.800000, 20.000000, 275.194429, 90.000000, BEST, 0.000000
2021-08-24T06:30:00Z, -64.383333, 11.816667, 20.000000, 275.194429, 90.000000, INTRP, 1.802868
2021-08-24T07:00:00Z, -64.566667, 11.833333, 20.000000, 275.194429, 90.000000, INTRP, 3.605737
2021-08-24T07:30:00Z, -64.750000, 11.850000, 20.000000, 275.194429, 90.000000, INTRP, 5.408605
2021-08-24T08:00:00Z, -64.933333, 11.866667, 20.000000, 275.194429, 90.000000, INTRP, 7.211474
2021-08-24T08:30:00Z, -65.116667, 11.883333, 20.000000, 275.194429, 90.000000, INTRP, 9.014342
2021-08-24T09:00:00Z, -65.300000, 11.900000, 20.000000, 275.194429, 90.000000, INTRP, 10.817211
2021-08-24T09:30:00Z, -65.483333, 11.916667, 20.000000, 275.194429, 90.000000, INTRP, 12.620079
2021-08-24T10:00:00Z, -65.666667, 11.933333, 20.000000, 275.194429, 90.000000, INTRP, 14.422948
2021-08-24T10:30:00Z, -65.850000, 11.950000, 20.000000, 275.194429, 90.000000, INTRP, 16.225816
2021-08-24T11:00:00Z, -66.033333, 11.966667, 20.000000, 275.194429, 90.000000, INTRP, 18.028684
2021-08-24T11:30:00Z, -66.216667, 11.983333, 20.000000, 275.194429, 90.000000, INTRP, 19.831553
2021-08-24T12:00:00Z, -66.400000, 12.000000, 20.000000, 272.602562, 90.000000, BEST, 21.634421
2021-08-24T12:30:00Z, -66.583333, 12.008333, 20.416667, 272.602562, 90.000000, INTRP, 21.627632
2021-08-24T13:00:00Z, -66.766667, 12.016667, 20.833333, 272.602562, 90.000000, INTRP, 21.620842
2021-08-24T13:30:00Z, -66.950000, 12.025000, 21.250000, 272.602562, 90.000000, INTRP, 21.614052
2021-08-24T14:00:00Z, -67.133333, 12.033333, 21.666667, 272.602562, 90.000000, INTRP, 21.607262
2021-08-24T14:30:00Z, -67.316667, 12.041667, 22.083333, 272.602562, 90.000000, INTRP, 21.600473
2021-08-24T15:00:00Z, -67.500000, 12.050000, 22.500000, 272.602562, 90.000000, INTRP, 21.593683
2021-08-24T15:30:00Z, -67.683333, 12.058333, 22.916667, 272.602562, 90.000000, INTRP, 21.586893
2021-08-24T16:00:00Z, -67.866667, 12.066667, 23.333333, 272.602562, 90.000000, INTRP, 21.580103
2021-08-24T16:30:00Z, -68.050000, 12.075000, 23.750000, 272.602562, 90.000000, INTRP, 21.573314
2021-08-24T17:00:00Z, -68.233333, 12.083333, 24.166667, 272.602562, 90.000000, INTRP, 21.566524
2021-08-24T17:30:00Z, -68.416667, 12.091667, 24.583333, 272.602562, 90.000000, INTRP, 21.559734
2021-08-24T18:00:00Z, -68.600000, 12.100000, 25.000000, 275.194429, 90.000000, BEST, 21.552944
2021-08-24T18:30:00Z, -68.783333, 12.116667, 25.000000, 275.194429, 90.000000, INTRP, 21.557737
2021-08-24T19:00:00Z, -68.966667, 12.133333, 25.000000, 275.194429, 90.000000, INTRP, 21.562530
2021-08-24T19:30:00Z, -69.150000, 12.150000, 25.000000, 275.194429, 90.000000, INTRP, 21.567323
2021-08-24T20:00:00Z, -69.333333, 12.166667, 25.000000, 275.194429, 90.000000, INTRP, 21.572115
2021-08-24T20:30:00Z, -69.516667, 12.183333, 25.000000, 275.194429, 90.000000, INTRP, 21.576908
2021-08-24T21:00:00Z, -69.700000, 12.200000, 25.000000, 275.194429, 90.000000, INTRP, 21.581701
2021-08-24T21:30:00Z, -69.883333, 12.216667, 25.000000, 275.194429, 90.000000, INTRP, 21.586494
2021-08-24T22:00:00Z, -70.066667, 12.233333, 25.000000, 275.194429, 90.000000, INTRP, 21.591287
2021-08-24T22:30:00Z, -70.250000, 12.250000, 25.000000, 275.194429, 90.000000, INTRP, 21.596079
2021-08-24T23:00:00Z, -70.433333, 12.266667, 25.000000, 275.194429, 90.000000, INTRP, 21.600872
2021-08-24T23:30:00Z, -70.616667, 12.283333, 25.000000, 275.194429, 90.000000, INTRP, 21.605665
2021-08-25T00:00:00Z, -70.800000, 12.300000, 25.000000, 274.969741, 90.000000, BEST, 21.610458
2021-08-25T00:30:00Z, -70.991667, 12.316667, 25.000000, 274.969741, 90.833333, INTRP, 21.690207
2021-08-25T01:00:00Z, -71.183333, 12.333333, 25.000000, 274.969741, 91.666667, INTRP, 21.769957
2021-08-25T01:30:00Z, -71.375000, 12.350000, 25.000000, 274.969741, 92.500000, INTRP, 21.849706
2021-08-25T02:00:00Z, -71.566667, 12.366667, 25.000000, 274.969741, 93.333333, INTRP, 21.929456
2021-08-25T02:30:00Z, -71.758333, 12.383333, 25.000000, 274.969741, 94.166667, INTRP, 22.009206
2021-08-25T03:00:00Z, -71.950000, 12.400000, 25.000000, 274.969741, 95.000000, INTRP, 22.088955
2021-08-25T03:30:00Z, -72.141667, 12.416667, 25.000000, 274.969741, 95.833333, INTRP, 22.168705
2021-08-25T04:00:00Z, -72.333333, 12.433333, 25.000000, 274.969741, 96.666667, INTRP, 22.248454
2021-08-25T04:30:00Z, -72.525000, 12.450000, 25.000000, 274.969741, 97.500000, INTRP, 22.328204
2021-08-25T05:00:00Z, -72.716667, 12.466667, 25.000000, 274.969741, 98.333333, INTRP, 22.407954
2021-08-25T05:30:00Z, -72.908333, 12.483333, 25.000000, 274.969741, 99.166667, INTRP, 22.487703
2021-08-25T06:00:00Z, -73.100000, 12.500000, 25.000000, 288.434949, 100.000000, BEST, 22.567453
2021-08-25T06:30:00Z, -73.250000, 12.550000, 25.416667, 288.434949, 99.166667, INTRP, 22.233685
2021-08-25T07:00:00Z, -73.400000, 12.600000, 25.833333, 288.434949, 98.333333, INTRP, 21.899918
2021-08-25T07:30:00Z, -73.550000, 12.650000, 26.250000, 288.434949, 97.500000, INTRP, 21.566150
2021-08-25T08:00:00Z, -73.700000, 12.700000, 26.666667, 288.434949, 96.666667, INTRP, 21.232382
2021-08-25T08:30:00Z, -73.850000, 12.750000, 27.083333, 288.434949, 95.833333, INTRP, 20.898615
2021-08-25T09:00:00Z, -74.000000, 12.800000, 27.500000, 288.434949, 95.000000, INTRP, 20.564847
2021-08-25T09:30:00Z, -74.150000, 12.850000, 27.916667, 288.434949, 94.166667, INTRP, 20.231080
2021-08-25T10:00:00Z, -74.300000, 12.900000, 28.333333, 288.434949, 93.333333, INTRP, 19.897312
2021-08-25T10:30:00Z, -74.450000, 12.950000, 28.750000, 288.434949, 92.500000, INTRP, 19.563544
2021-08-25T11:00:00Z, -74.600000, 13.000000, 29.166667, 288.434949, 91.666667, INTRP, 19.229777
2021-08-25T11:30:00Z, -74.750000, 13.050000, 29.583333, 288.434949, 90.833333, INTRP, 18.896009
2021-08-25T12:00:00Z, -74.900000, 13.100000, 30.000000, 289.983107, 90.000000, BEST, 18.562242
2021-08-25T12:30:00Z, -74.991667, 13.133333, 30.000000, 289.983107, 89.166667, INTRP, 17.968351
2021-08-25T13:00:00Z, -75.083333, 13.166667, 30.000000, 289.983107, 88.333333, INTRP, 17.374460
2021-08-25T13:30:00Z, -75.175000, 13.200000, 30.000000, 289.983107, 87.500000, INTRP, 16.780569
2021-08-25T14:00:00Z, -75.266667, 13.233333, 30.000000, 289.983107, 86.666667, INTRP, 16.186679
2021-08-25T14:30:00Z, -75.358333, 13.266667, 30.000000, 289.983107, 85.833333, INTRP, 15.592788
2021-08-25T15:00:00Z, -75.450000, 13.300000, 30.000000, 289.983107, 85.000000, INTRP, 14.998897
2021-08-25T15:30:00Z, -75.541667, 13.333333, 30.000000, 289.983107, 84.166667, INTRP, 14.405007
2021-08-25T16:00:00Z, -75.633333, 13.366667, 30.000000, 289.983107, 83.333333, INTRP, 13.811116
2021-08-25T16:30:00Z, -75.725000, 13.400000, 30.000000, 289.983107, 82.500000, INTRP, 13.217225
2021-08-25T17:00:00Z, -75.816667, 13.433333, 30.000000, 289.983107, 81.666667, INTRP, 12.623334
2021-08-25T17:30:00Z, -75.908333, 13.466667, 30.000000, 289.983107, 80.833333, INTRP, 12.029444
2021-08-25T18:00:00Z, -76.000000, 13.500000, 30.000000, 296.565051, 80.000000, BEST, 11.435553
2021-08-25T18:30:00Z, -76.083333, 13.541667, 30.000000, 296.565051, 80.000000, INTRP, 11.393599
2021-08-25T19:00:00Z, -76.166667, 13.583333, 30.000000, 296.565051, 80.000000, INTRP, 11.351644
2021-08-25T19:30:00Z, -76.250000, 13.625000, 30.000000, 296.565051, 80.000000, INTRP, 11.309690
2021-08-25T20:00:00Z, -76.333333, 13.666667, 30.000000, 296.565051, 80.000000, INTRP, 11.267735
2021-08-25T20:30:00Z, -76.416667, 13.708333, 30.000000, 296.565051, 80.000000, INTRP, 11.225781
2021-08-25T21:00:00Z, -76.500000, 13.750000, 30.000000, 296.565051, 80.000000, INTRP, 11.183826
2021-08-25T21:30:00Z, -76.583333, 13.791667, 30.000000, 296.565051, 80.000000, INTRP, 11.141872
2021-08-25T22:00:00Z, -76.666667, 13.833333, 30.000000, 296.565051, 80.000000, INTRP, 11.099917
2021-08-25T22:30:00Z, -76.750000, 13.875000, 30.000000, 296.565051, 80.000000, INTRP, 11.057963
2021-08-25T23:00:00Z, -76.833333, 13.916667, 30.000000, 296.565051, 80.000000, INTRP, 11.016008
2021-08-25T23:30:00Z, -76.916667, 13.958333, 30.000000, 296.565051, 80.000000, INTRP, 10.974054
2021-08-26T00:00:00Z, -77.000000, 14.000000, 30.000000, 320.194429, 80.000000, BEST, 10.932099
2021-08-26T00:30:00Z, -77.083333, 14.100000, 30.000000, 320.194429, 80.000000, INTRP, 11.306594
2021-08-26T01:00:00Z, -77.166667, 14.200000, 30.000000, 320.194429, 80.000000, INTRP, 11.681089
2021-08-26T01:30:00Z, -77.250000, 14.300000, 30.000000, 320.194429, 80.000000, INTRP, 12.055583
2021-08-26T02:00:00Z, -77.333333, 14.400000, 30.000000, 320.194429, 80.000000, INTRP, 12.430078
2021-08-26T02:30:00Z, -77.416667, 14.500000, 30.000000, 320.194429, 80.000000, INTRP, 12.804573
2021-08-26T03:00:00Z, -77.500000, 14.600000, 30.000000, 320.194429, 80.000000, INTRP, 13.179068
2021-08-26T03:30:00Z, -77.583333, 14.700000, 30.000000, 320.194429, 80.000000, INTRP, 13.553562
2021-08-26T04:00:00Z, -77.666667, 14.800000, 30.000000, 320.194429, 80.000000, INTRP, 13.928057
2021-08-26T04:30:00Z, -77.750000, 14.900000, 30.000000, 320.194429, 80.000000, INTRP, 14.302552
2021-08-26T05:00:00Z, -77.833333, 15.000000, 30.000000, 320.194429, 80.000000, INTRP, 14.677047
2021-08-26T05:30:00Z, -77.916667, 15.100000, 30.000000, 320.194429, 80.000000, INTRP, 15.051541
2021-08-26T06:00:00Z, -78.000000, 15.200000, 30.000000, 320.194429, 80.000000, BEST, 15.426036
